계약날짜,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문,동작구,마포구,서대문,서초구,성동구,성북구,송파구,양천구,영등포,용산구,은평구,종로구,중구 ,중랑구,합계
20060404,27.0,17.0,4.0,28.0,11.0,11.0,22.0,10.0,48.0,19.0,12.0,13.0,6.0,6.0,19.0,20.0,11.0,26.0,26.0,14.0,10.0,4.0,0.0,4.0,10.0,378.0
20060405,24.0,13.0,4.0,33.0,18.0,7.0,16.0,8.0,44.0,9.0,13.0,24.0,8.0,9.0,14.0,11.0,13.0,17.0,28.0,18.0,7.0,4.0,4.0,6.0,13.0,365.0
20060406,23.0,14.0,5.0,23.0,17.0,7.0,16.0,4.0,35.0,12.0,12.0,3.0,8.0,11.0,8.0,10.0,8.0,20.0,24.0,7.0,5.0,6.0,2.0,0.0,9.0,289.0
20060407,16.0,12.0,4.0,34.0,10.0,14.0,17.0,4.0,34.0,18.0,6.0,16.0,13.0,11.0,18.0,10.0,7.0,17.0,26.0,15.0,4.0,13.0,0.0,5.0,17.0,341.0
20060408,13.0,15.0,4.0,40.0,22.0,8.0,28.0,8.0,30.0,17.0,10.0,10.0,14.0,8.0,11.0,11.0,9.0,23.0,23.0,18.0,13.0,4.0,1.0,3.0,8.0,351.0
20060409,2.0,1.0,6.0,6.0,7.0,4.0,9.0,4.0,6.0,0.0,4.0,13.0,3.0,6.0,4.0,3.0,6.0,2.0,7.0,5.0,4.0,3.0,0.0,1.0,9.0,115.0
20060410,23.0,21.0,7.0,33.0,23.0,7.0,17.0,5.0,46.0,16.0,12.0,12.0,12.0,10.0,24.0,21.0,11.0,16.0,27.0,27.0,5.0,3.0,1.0,2.0,18.0,399.0
20060411,19.0,21.0,5.0,34.0,11.0,9.0,16.0,4.0,28.0,15.0,11.0,13.0,13.0,15.0,11.0,11.0,5.0,15.0,23.0,20.0,4.0,5.0,3.0,4.0,13.0,328.0
20060412,23.0,32.0,9.0,40.0,15.0,7.0,12.0,9.0,37.0,12.0,5.0,19.0,16.0,10.0,16.0,12.0,13.0,28.0,16.0,22.0,9.0,4.0,1.0,4.0,7.0,378.0
20060413,25.0,13.0,3.0,24.0,10.0,7.0,14.0,8.0,33.0,12.0,11.0,16.0,8.0,7.0,25.0,16.0,10.0,23.0,28.0,18.0,4.0,3.0,2.0,2.0,7.0,329.0
20060414,18.0,19.0,9.0,18.0,10.0,9.0,11.0,3.0,39.0,13.0,8.0,3.0,11.0,6.0,22.0,19.0,9.0,26.0,18.0,17.0,6.0,5.0,0.0,2.0,9.0,310.0
20060415,30.0,23.0,4.0,46.0,16.0,14.0,17.0,5.0,42.0,19.0,12.0,15.0,16.0,11.0,12.0,16.0,10.0,29.0,18.0,32.0,6.0,6.0,2.0,4.0,8.0,413.0
