사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2019110800100607,2019년 11월 8일 18시,금요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,이륜,남,62세,상해없음,승용,여,40세,경상
2019111700100075,2019년 11월 17일 02시,일요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,52세,상해없음,승용,남,61세,상해없음
2019112000100451,2019년 11월 20일 15시,수요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,58세,상해없음,보행자,여,26세,경상
2019120500100140,2019년 12월 5일 08시,목요일,경기도 수원시 팔달구 인계동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,34세,상해없음,승용,남,26세,경상
2020013000100038,2020년 1월 30일 05시,목요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,23세,상해없음,승용,남,62세,경상
2020022100100008,2020년 2월 21일 00시,금요일,경기도 수원시 팔달구 인계동,중상사고,0,2,1,1,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,49세,부상신고,승용,남,59세,중상
2020022400100380,2020년 2월 24일 18시,월요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,23세,상해없음,승용,남,28세,경상
2020022900100059,2020년 2월 29일 04시,토요일,경기도 수원시 팔달구 인계동,경상사고,0,0,3,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,55세,상해없음,승용,남,36세,경상
2020030600100026,2020년 3월 6일 02시,금요일,경기도 수원시 팔달구 인계동,중상사고,0,2,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,26세,상해없음,승용,남,40세,중상
2020032500100572,2020년 3월 25일 23시,수요일,경기도 수원시 팔달구 인계동,경상사고,0,0,2,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,24세,상해없음,승용,여,25세,경상
2020032600100477,2020년 3월 26일 21시,목요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 기타,신호위반,포장 - 젖음/습기,비,교차로 - 교차로안,이륜,남,53세,경상,승용,남,45세,상해없음
2020042200100296,2020년 4월 22일 15시,수요일,경기도 수원시 팔달구 인계동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,40세,상해없음,보행자,여,49세,중상
2020052000100144,2020년 5월 20일 09시,수요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,58세,상해없음,승용,여,56세,경상
2020053000100214,2020년 5월 30일 11시,토요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,44세,상해없음,승용,여,27세,경상
2020070100100044,2020년 7월 1일 04시,수요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 측면충돌,차로위반,포장 - 젖음/습기,흐림,교차로 - 교차로부근,이륜,여,75세,경상,화물,남,61세,상해없음
2020070800100019,2020년 7월 8일 02시,수요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,17세,기타불명,승용,남,59세,경상
2020081200100612,2020년 8월 12일 23시,수요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 추돌,기타,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,30세,상해없음,승용,남,63세,경상
2020091000100120,2020년 9월 10일 10시,목요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,42세,상해없음,승용,여,56세,경상
2020091500100328,2020년 9월 15일 15시,화요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,여,48세,상해없음,화물,남,44세,경상
2020100100100002,2020년 10월 1일 00시,목요일,경기도 수원시 팔달구 인계동,경상사고,0,0,3,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,51세,상해없음,승용,남,65세,경상
2020110300100268,2020년 11월 3일 12시,화요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,포장 - 건조,맑음,단일로 - 기타,승합,남,60세,상해없음,보행자,여,53세,경상
2020110700100094,2020년 11월 7일 08시,토요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,52세,경상,건설기계,남,52세,상해없음
2020111200100511,2020년 11월 12일 18시,목요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,48세,상해없음,승용,여,46세,경상
2020111800100045,2020년 11월 18일 05시,수요일,경기도 수원시 팔달구 인계동,중상사고,0,1,0,0,차대사람 - 기타,보행자보호의무위반,포장 - 젖음/습기,비,교차로 - 교차로횡단보도내,승용,남,63세,상해없음,보행자,여,59세,중상
2020112300100324,2020년 11월 23일 14시,월요일,경기도 수원시 팔달구 인계동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,31세,상해없음,자전거,여,58세,중상
2020120200100185,2020년 12월 2일 12시,수요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 측면충돌,차로위반,포장 - 건조,맑음,단일로 - 기타,승용,남,35세,상해없음,이륜,남,43세,경상
2020122200100507,2020년 12월 22일 20시,화요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,54세,기타불명,이륜,남,46세,경상
2020122300100322,2020년 12월 23일 16시,수요일,경기도 수원시 팔달구 인계동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,50세,상해없음,승용,여,26세,경상
2020123000100335,2020년 12월 30일 17시,수요일,경기도 수원시 팔달구 인계동,중상사고,0,1,0,0,차대차 - 측면충돌,중앙선침범,포장 - 건조,맑음,단일로 - 기타,승용,남,58세,상해없음,이륜,남,32세,중상
