,0
418,"37.503160195737074, 126.87982987208375"
419,"37.513897745371196, 127.10726010364819"
420,"37.58930066510415, 127.01337151477343"
421,"37.51270261580233, 126.95204187671551"
422,"37.54487352558899, 127.10452274869112"
423,"37.48443988130643, 127.03388370062464"
424,"37.60424168074765, 126.99793607494516"
425,"37.4936066422497, 127.01387355947983"
426,"37.55949025054142, 126.96890206440989"
427,"37.504353685743006, 126.85608438982294"
428,"37.51817008731658, 127.07049449164327"
429,"37.50271960711085, 126.84931260274914"
430,"37.46535761321774, 127.09674281950875"
431,"37.47830523574129, 127.12713761965354"
432,"37.479685192070484, 127.12599176289922"
433,"37.559462842430534, 126.80339073068025"
434,"37.51599555054502, 126.88836913307806"
435,"37.51489010146817, 127.06455563884255"
436,"37.661832881862125, 127.07404645093239"
437,"37.579360942862664, 126.89991912976758"
438,"37.589083538802385, 126.91835962924375"
439,"37.66807416625926, 127.0343980270386"
440,"37.49907515736835, 126.82901790364872"
441,"37.49506628893597, 127.03696232390205"
442,"37.522485601209716, 126.84720037482626"
443,"37.48525339369265, 126.85644635999824"
444,"37.67727942167546, 127.04907102453824"
445,"37.559357594814166, 127.0368578906362"
446,"37.55682548436421, 127.0093120989933"
447,"37.570773554096974, 126.91981628021267"
448,"37.559279542276755, 126.80792418055609"
449,"37.584908861321445, 126.8794583020964"
450,"37.53391560805156, 126.91234919984063"
451,"37.66241908543122, 127.03317079852219"
452,"37.49387742712311, 127.01383291193616"
453,"37.50440880027124, 127.04891747740483"
454,"37.476250581558375, 127.05868985569064"
455,"37.506819134753414, 126.85984645465568"
456,"37.55081480694434, 127.02566397779384"
457,"37.53358208202744, 126.8454680632999"
458,"37.50285715118848, 126.87989965967068"
459,"37.601244566797554, 126.98001957513841"
460,"37.491775451807555, 127.11649598054896"
461,"37.60787954623739, 127.00168254272671"
462,"37.4935894189432, 126.87202498128967"
463,"37.56414023400626, 126.89902427227874"
464,"37.54565203442114, 127.1671828541755"
465,"37.63392090887391, 127.03765233611114"
466,"37.6497309719198, 127.08109856239527"
467,"37.589019205320746, 127.08998276781482"
468,"37.59531442195159, 127.09986670952887"
469,"37.47680276355311, 126.91561193102117"
470,"37.45381378940348, 126.9032437276001"
471,"37.643450089350246, 126.92370233030323"
472,"37.58670204228112, 127.03864275121322"
473,"37.565572987525364, 127.01986647840445"
474,"37.54288275297357, 127.08427370204929"
475,"37.55853999027098, 126.92682937591256"
476,"37.60301738197109, 127.06195244483327"
477,"37.55295041475988, 127.06645244718138"
